rating,usefulCount,compound,word_count,char_count,numericalCondition,numericalDrugName
9,22,2,39,272,5,400
8,35,2,67,395,9,147
8,4,2,67,370,4,150
5,1,0,59,316,4,148
1,3,0,45,244,4,324
0,57,0,7,36,9,83
1,44,0,22,148,6,38
2,1,0,79,389,1,391
5,24,0,15,98,3,309
0,15,2,69,392,6,603
0,27,2,37,198,3,56
5,18,0,67,412,3,355
6,1,2,51,312,3,315
9,4,2,37,250,4,98
8,32,0,61,359,8,202
6,0,2,74,417,4,440
8,32,2,76,419,5,220
7,75,2,47,319,3,259
0,6,0,67,420,4,71
9,4,2,36,239,4,227
0,4,0,68,429,4,392
5,20,1,1,5,2,140
3,2,0,61,417,1,91
2,0,0,41,233,4,235
4,7,0,52,286,4,235
8,7,0,42,224,4,458
1,57,2,74,485,0,49
7,32,2,65,345,1,137
9,3,2,56,327,4,557
1,13,0,76,400,2,208
0,51,0,21,115,5,683
2,4,2,26,162,4,231
0,18,0,78,439,5,208
0,4,0,44,228,4,474
8,4,1,47,262,4,229
9,36,0,40,206,8,633
9,5,1,6,37,7,489
7,36,2,75,404,5,645
0,5,0,61,307,5,645
3,17,0,28,187,2,103
7,21,2,11,66,8,10
9,9,0,12,75,4,72
4,1,2,38,229,4,280
9,1,0,51,311,4,323
7,16,2,46,258,3,56
8,15,2,34,217,8,10
9,0,0,69,408,4,323
9,159,2,65,388,0,141
3,35,0,68,386,4,232
7,22,2,8,59,3,163
0,3,2,9,50,4,340
4,6,0,77,439,4,148
3,15,0,60,314,5,109
8,19,2,60,320,9,489
1,4,0,28,164,4,673
9,24,2,58,339,4,148
8,5,2,16,93,4,292
9,60,0,64,384,8,468
2,2,2,70,413,4,424
4,11,0,75,446,5,109
9,12,2,16,89,1,96
9,10,2,70,408,4,340
4,2,2,59,359,4,232
9,21,2,39,214,1,672
9,224,2,65,371,0,109
1,14,0,43,302,5,683
2,21,0,61,333,2,103
5,4,0,45,266,4,302
9,63,2,13,62,5,220
7,6,0,59,336,4,231
0,18,0,5,34,8,599
0,2,0,72,423,8,629
5,2,2,76,412,4,166
4,2,0,54,317,4,536
9,28,2,31,189,5,208
5,26,2,62,325,6,173
2,7,0,11,72,5,172
3,7,2,59,355,4,199
9,48,2,39,215,7,490
4,0,2,66,416,3,355
9,82,0,80,451,1,564
9,32,0,24,142,8,161
