usefulCount,compound,rating_binary,word_count,char_count,numericalCondition,numericalDrugName
22,2,1,39,272,5,400
35,2,1,67,395,9,147
4,2,1,67,370,4,150
1,0,1,59,316,4,148
3,0,0,45,244,4,324
57,0,0,7,36,9,83
44,0,0,22,148,6,38
1,0,0,79,389,1,391
24,0,1,15,98,3,309
15,2,0,69,392,6,603
27,2,0,37,198,3,56
18,0,1,67,412,3,355
1,2,1,51,312,3,315
4,2,1,37,250,4,98
32,0,1,61,359,8,202
0,2,1,74,417,4,440
32,2,1,76,419,5,220
75,2,1,47,319,3,259
6,0,0,67,420,4,71
4,2,1,36,239,4,227
4,0,0,68,429,4,392
20,1,1,1,5,2,140
2,0,0,61,417,1,91
0,0,0,41,233,4,235
7,0,0,52,286,4,235
7,0,1,42,224,4,458
57,2,0,74,485,0,49
32,2,1,65,345,1,137
3,2,1,56,327,4,557
13,0,0,76,400,2,208
51,0,0,21,115,5,683
4,2,0,26,162,4,231
18,0,0,78,439,5,208
4,0,0,44,228,4,474
4,1,1,47,262,4,229
36,0,1,40,206,8,633
5,1,1,6,37,7,489
36,2,1,75,404,5,645
5,0,0,61,307,5,645
17,0,0,28,187,2,103
21,2,1,11,66,8,10
9,0,1,12,75,4,72
1,2,0,38,229,4,280
1,0,1,51,311,4,323
16,2,1,46,258,3,56
15,2,1,34,217,8,10
0,0,1,69,408,4,323
159,2,1,65,388,0,141
35,0,0,68,386,4,232
22,2,1,8,59,3,163
3,2,0,9,50,4,340
6,0,0,77,439,4,148
15,0,0,60,314,5,109
19,2,1,60,320,9,489
4,0,0,28,164,4,673
24,2,1,58,339,4,148
5,2,1,16,93,4,292
60,0,1,64,384,8,468
2,2,0,70,413,4,424
11,0,0,75,446,5,109
12,2,1,16,89,1,96
10,2,1,70,408,4,340
2,2,0,59,359,4,232
21,2,1,39,214,1,672
224,2,1,65,371,0,109
14,0,0,43,302,5,683
21,0,0,61,333,2,103
4,0,1,45,266,4,302
63,2,1,13,62,5,220
6,0,1,59,336,4,231
18,0,0,5,34,8,599
2,0,0,72,423,8,629
2,2,1,76,412,4,166
2,0,0,54,317,4,536
28,2,1,31,189,5,208
26,2,1,62,325,6,173
7,0,0,11,72,5,172
7,2,0,59,355,4,199
48,2,1,39,215,7,490
0,2,0,66,416,3,355
82,0,1,80,451,1,564
32,0,1,24,142,8,161
3,0,1,49,282,4,166
12,0,0,22,144,5,551
81,0,1,68,429,5,499
23,0,0,44,241,6,517
1,0,0,65,357,1,20
30,2,1,72,438,1,679
2,0,1,81,445,4,424
7,0,1,47,284,1,564
23,2,1,39,287,3,509
2,2,0,67,374,4,231
7,0,1,25,145,4,474
1,2,1,69,426,4,166
27,2,1,30,200,1,20
25,2,1,71,388,5,655
28,2,1,45,245,1,4
41,2,1,2,10,5,109
1,0,1,29,205,8,412
13,0,1,69,408,5,326
31,0,1,45,295,2,140
